Course_Name,Level,Rating,Skills,Number of students,Platform
ETSx: Understanding the TOEFL Essentials Test,0,4.6,"English Language, Test Of English As A Foreign Language (TOEFL), Research, Writing",21461,EdX
LinuxFoundationX: Secure Software Development: Verification and More Specialized Topics,0,4.671710515,"Threat Modeling, Open Source Technology, Software Engineering, DevOps, Software Development, Cryptography, Linux, Continuous Integration",141789,EdX
IBM: Application Security for Developers,1,4.671710515,"SQL Injection, Network Computing, Systems Development Life Cycle, Development Environment, Static Application Security Testing (SAST), Access Controls, Dynamic Program Analysis, DevSecOps, Vulnerability, Open Web Application Security Project (OWASP), Storage Devices, Software Development Life Cycle, Application Security, Software Development",143269,EdX
UCSanDiegoX: Data Structures Fundamentals,1,4.671710515,"Operations, C++ (Programming Language), Computational Thinking, Algorithms, Java (Programming Language), Python (Programming Language), Data Structures, Priority Queue",52823,EdX
Codio: Java Programming: Intermediate Concepts,0,4.671710515,"Java (Programming Language), Computer Science",155253,EdX
Codio: Java Programming: Object-Oriented Design,0,4.671710515,"Encapsulation (Networking), Object-Oriented Design, Computer Science, Polymorphism, Java (Programming Language)",154381,EdX
Codio: Java Programming: Basic Skills,0,4.671710515,"Computer Science, Java (Programming Language)",147977,EdX
LinuxFoundationX: Building Microservice Platforms with TARS,0,4.671710515,"Software Architecture, Java (Programming Language), Node.js, Python (Programming Language), Microservices, Go (Programming Language), C++ (Programming Language), PHP (Scripting Language), Data Transmissions",148097,EdX
Microsoft: Learn to Program in Java,0,4.671710515,"Java (Programming Language), Software Engineering, Computer Science",158154,EdX
StanfordOnline: Compilers,0,4.671710515,"Parsing, Program Optimization, C++ (Programming Language), Runtime Systems, Object-Oriented Programming (OOP), Compilers, Lexical Analysis, Code Generation, Semantics, Syntax",36057,EdX
IITBombayX: Shell Programming - A necessity for all Programmers,0,4.671710515,"Front End Design, Scripting, Java (Programming Language), Software Development, Python (Programming Language), Automation, C (Programming Language), Unit Testing, LESS, Linux Scripting, Integration Testing, Unix Shell, Shell Commands, C++ (Programming Language)",154281,EdX
GalileoX: Java Programming Fundamentals,1,4.671710515,"Java (Programming Language), Algorithms, Object Oriented Programming And Systems, Object-Oriented Programming (OOP), Conditional Statements",28686,EdX
HarvardX: CS50's Introduction to Programming with Scratch,0,4.671710515,"Visual Programming Language (VPL), Animations, Java (Programming Language), Typing, Python (Programming Language), Computer Science",161771,EdX
PurdueX: AP Computer Science A: Java Programming Loops and Data Structures,0,4.671710515,"Computer Programming, Java (Programming Language), Computer Science, Data Structures",153414,EdX
PurdueX: AP Computer Science A: Java Programming Classes and Objects,0,4.671710515,"Computer Programming, Computer Science, Java (Programming Language), Object-Oriented Programming (OOP), Data Structures",156251,EdX
PurdueX: AP Computer Science A: Java Programming,0,4.671710515,"Java (Programming Language), Object-Oriented Programming (OOP), Computer Programming, Computer Science",153251,EdX
HKUSTx: Introduction to Java Programming – Part 2,0,4.671710515,"Data Abstraction, Java (Programming Language), Object-Oriented Programming (OOP), Integrated Development Environments, Problem Solving",72560,EdX
HKUSTx: Introduction to Java Programming – Part 1,0,4.1,"Data Abstraction, Event-Driven Programming, Java (Programming Language), Object-Oriented Programming (OOP), Integrated Development Environments, Problem Solving",297736,EdX
DelftX: Introduction to Functional Programming,0,4.671710515,"Scala (Programming Language), Ruby (Programming Language), C++ (Programming Language), Functional Programming, Java (Programming Language), Programming Concepts, JavaScript (Programming Language), .NET Framework, F# (Programming Language), C# (Programming Language), Haskell (Programming Language), PHP (Scripting Language), Python (Programming Language), Clojure, Groovy (Programming Language), Programming Language Design, Visual Basic (Programming Language)",155790,EdX
Cooper Union: Preparing for the AP* Computer Science A Exam — Part 1,0,4.671710515,"Creativity, Object-Oriented Programming (OOP), Programming Concepts, Syntax, Software Design Patterns, Algorithms, Google Glass, Problem Solving, Java (Programming Language), Data Structures, Computer Science",149435,EdX
Cooper Union: Preparing for the AP* Computer Science A Exam — Part 2,0,4.671710515,"Creativity, Object-Oriented Programming (OOP), Programming Concepts, Syntax, Software Design Patterns, Algorithms, Google Glass, Problem Solving, Java (Programming Language), Data Structures, Computer Science",158569,EdX
UBCx: Software Construction: Data Abstraction,0,4.671710515,"Junit, Java (Programming Language), Data Abstraction, Software Systems, Object-Oriented Programming (OOP), Software Design Patterns, Software Construction, Polymorphism, Software Development",157036,EdX
GTx: Introduction to Object-Oriented Programming with Java I: Foundations and Syntax Basics,0,4,"Java (Programming Language), Object-Oriented Programming (OOP)",28190,EdX
"WasedaX: Cosmic Rays, Dark Matter, and the Mysteries of the Universe",1,4.671710515,"Solar Systems, Energetic, Space Radiation, Space Stations",14002,EdX
HKUx: Our Place in the Universe,0,4.671710515,"Intellectual Curiosity, Animations",150636,EdX
UAMx: De la granja a la mesa: La seguridad alimentaria en la Unión Europea,0,4.671710515,"Legal Knowledge, English Language, Food Security, Cucumber (Software), Spanish Language",10481,EdX
FedericaX: Psicologia della personalità: un'introduzione,1,4.671710515,"Integration, Artificial Intelligence, Personality Psychology, Psychology",5100,EdX
URosarioX: Leer y escribir en la universidad,0,4.671710515,"Literacy, Academic Writing, Writing",155178,EdX
ANUx: Astrophysics: The Violent Universe,1,4.7,"Textiles, Quantum Mechanics, Astrophysics, Astronomy, Physics",72326,EdX
UPValenciaX: ODS en la Agenda 2030 de las Naciones Unidas: Retos de los Objetivos de Desarrollo Sostenible,0,4.6,"Cooperation, Sustainable Development, Sustainability, Operational Data Store",24935,EdX
"DelftX: Automated Software Testing: Unit Testing, Coverage Criteria and Design for Testability",1,4.671710515,"Unit Testing, System Testing, Automation, Test Automation, Safety Assurance, Code Coverage, Testability, Software Quality (SQA/SQC), Boundary Testing, Software Testing",22491,EdX
ANUx: Greatest Unsolved Mysteries of the Universe,1,4.9,Astrophysics,112358,EdX
HarvardX: United States Health Policy,0,4.9,Health Policies,38427,EdX
DelftX: Pre-University Physics,0,4.2,"Electrical Engineering, Aerospace Engineering, Applied Physics, Physics, Mechanical Engineering",23513,EdX
DelftX: Pre-University Calculus,0,4.5,"Basic Math, Analytic Geometry, Integration, Calculus",137829,EdX
Microsoft: Introduction to C++,0,4.671710515,"Mac OS X, Unix, Linux, Computer Programming, C++ (Programming Language), Object-Oriented Programming (OOP), Internet Of Things (IoT), Microsoft Windows, Generic Programming",145556,EdX
IMTx: Digital Networks Essentials,1,4.671710515,"Computer Networks, Computer Science, Unix, Communications, Vocabulary, Transmission Control Protocol (TCP), Virtual Environment",145746,EdX
IBM: Linux Commands & Shell Scripting,0,4.2,"Mac OS, Web Browsers, Linux Servers, Operating Systems, Command-Line Interface, Wget, File Management, cURL, Shell Commands, Linux Commands, Bash (Scripting Language), Unix, Text Processing, Access Controls, Ifconfig, Cron, Linux, Scripting, Unix Shell, Ping (Networking Utility), Shell Script, Grep, Software Development",15515,EdX
HarvardX: Data Science: R Basics,0,4.5,"Version Control, Data Science, RStudio, Dplyr, Machine Learning, Data Visualization, Sorting, Data Wrangling, Data Analysis, R (Programming Language), Probability, File Organization, Ggplot2, Document Preparations, Unix, Github, Git (Version Control System), Linux",845628,EdX
RITx: Computer Forensics,2,4.4,"File Systems, Linux, Computer Forensics, Cyber Security, Microsoft Windows, Unix, Digital Forensics, Forensic Sciences",86040,EdX
FedericaX: I sistemi Operativi Moderni,1,4.671710515,"Android (Operating System), Memory Management, Unix, Operating Systems, Hardware Platform Interface, Planning, File Systems, Scheduling, Virtual Machines, Virtual Memory, Hypervisor",148558,EdX
"DartmouthX, IMTx: Linux Basics: The Command Line Interface",0,4.671710515,"Computer Engineering, Embedded Systems, Operating Systems, Command-Line Interface, Smartphone Operation, Automated Teller Machine, Linux Commands, Linux, File Systems",45379,EdX
IBM: Introduction to System Programming on IBM Z,1,4.671710515,"z/OS, Unix System Services, Job Entry Subsystem 2/3, Job Control Language (JCL), System Programming, Virtual Storage Access Methods, IBM DB2",141896,EdX
AnahuacX: Fundamentos y Herramientas de DevOps,1,4.671710515,"Unix, System Administration, Software Development, Linux, Customer Service, DevOps, Unix Commands, Integration, Git (Version Control System), Continuous Integration, Virtualization, Version Control, Web Platforms, Customer Experience, Business Valuation, Infrastructure as Code (IaC), Github, Ubuntu (Operating System), Systems Integration, Command-Line Interface",142474,EdX
AnahuacX: DevOps: Foundations and tools,1,4.671710515,"Software Versioning, Continuous Delivery, Agile Methodology, Unix, Command-Line Interface, System Administration, Version Control, Software Development, Linux, Git (Version Control System), Infrastructure as Code (IaC), Github, Continuous Integration, DevOps, Virtualization, Ubuntu (Operating System), Web Platforms",142503,EdX
HarvardX: Data Science: Productivity Tools,0,4.3,"Version Control, Data Science, Report Writing, File Systems, Data Analysis, Rmarkdown, R (Programming Language), Markdown, Unix, Github, Git (Version Control System), Productivity Software, Linux",97945,EdX
"DelftX: Unix Tools: Data, Software and Production Engineering",1,4.671710515,"Command-Line Interface, Software Engineering, Supercomputing, Unix Shell, Production Engineering, File Systems, Big Data, Software Analysis, Log Files, Workflow Management, DevOps, Software Development, Prototyping, Business Analytics, Software Systems, Unix Tools, Internet Of Things (IoT), Unix",6407,EdX
IBM: Introducing z/OS UNIX System Services,0,4.671710515,"Unix, z/OS, Unix System Services, Open Standards",159801,EdX
UCSanDiegoX: Creating Virtual Reality (VR) Apps,1,4.671710515,"Graphical User Interface, Unity Engine, Stereophonic Sound System, Development Environment, Forecasting, Virtual Reality, Programming Environments, 3d Engine, C# (Programming Language), 3D Modeling",28894,EdX
UPValenciaX: Introduction to video game development with Unity,1,4.8,"Decision Making, Video Game Development, Unity Engine, Multiplatform, Game Engine",159800,EdX
HKPolyUx: Success: Practical Thinking Skills,0,4.671710515,"Resilience, Innovation, Creative Problem-Solving, Animations, Creative Strategies, Creativity, Teaching, Creative Thinking, Decision Making, Problem Solving",157093,EdX
UQx: IELTS Academic Test Preparation,0,4.7,"Writing, English Language",1591666,EdX
HP: From Code to Creation: Mastering Game Programming,0,4.671710515,"Innovation, eSports Management, Development Testing, Artificial Intelligence, Mechanics, Video Game Development, eSports, Audio Engineering, Game Programming",152582,EdX
MITx: Introduction to Game Design,0,4.671710515,"Game Design, Usability Testing, Digital Prototyping, Prototyping",159709,EdX
"UMD, USMx: Agile Process, Project, and Program Controls",2,4.4,"Project Management, Project Management Professional Certification, Agile Leadership, Technology Roadmaps, Earned Value Management, Business Case, Management, Team Processes, Project Management Body Of Knowledge (PMBOK) Methodology, Return On Investment, Scrum (Software Development), Benefits Realization Management, Project Risk Management, Product Roadmaps, Certified Scrum Master, Program Management, PMI Agile Certified Practitioner, Agile Project Management, Agile Methodology, Risk Management, Sprint Retrospectives, Project Management Institute (PMI) Methodology",24036,EdX
"UMD, USMx: Agile Innovation and Problem Solving Skills",2,4.6,"User Story, Project Management Professional Certification, Agile Leadership, Empathy, Requirements Elicitation, Business Valuation, Creative Thinking, Critical Thinking, Scrum (Software Development), Certified Scrum Master, Business Modeling, Test-Driven Development (TDD), PMI Agile Certified Practitioner, Timeboxing, Thinking Processes, Agile Methodology, Risk Management, Problem Solving, Innovation, Project Management Institute (PMI) Methodology",26023,EdX
IITBombayX: Shell Programming - A necessity for all Programmers,0,4.671710515,"Front End Design, Scripting, Java (Programming Language), Software Development, Python (Programming Language), Automation, C (Programming Language), Unit Testing, LESS, Linux Scripting, Integration Testing, Unix Shell, Shell Commands, C++ (Programming Language)",153234,EdX
UC3Mx: Introduction to Java Programming: Writing Good Code,0,3.6,"Java (Programming Language), Computer Science, Addressing Ethical Concerns, Software Engineering, Computational Thinking, Smartphone Operation",59305,EdX
IBM: Test and Behavior Driven Development (TDD/BDD),1,4.671710515,"Resilience, Software Release Life Cycle, Systems Development Life Cycle, Test-Driven Development (TDD), Software Development Life Cycle, Behavior-Driven Development, Code Coverage, Selenium (Software), Test Automation",148116,EdX
IBM: Python for AI & Development Project,1,4.671710515,"Packaging And Labeling, Unit Testing, Python (Programming Language), Artificial Intelligence",9317,EdX
"DelftX: Automated Software Testing: Unit Testing, Coverage Criteria and Design for Testability",1,4.671710515,"Unit Testing, System Testing, Automation, Test Automation, Safety Assurance, Code Coverage, Testability, Software Quality (SQA/SQC), Boundary Testing, Software Testing",22491,EdX
W3Cx: JavaScript Introduction,0,3.8,"Cascading Style Sheets (CSS), JavaScript (Programming Language), Front End (Software Engineering), Web Browsers, Web Development, Web Pages, Multimedia",214097,EdX
W3Cx: HTML5 and CSS Fundamentals,0,4.6,"Web Standards, Cascading Style Sheets (CSS), HTML5, Front End (Software Engineering), Web Development, Look And Feel, Web Design",403153,EdX
HarvardX: CS50's Mobile App Development with React Native,1,4.671710515,"React.js, Mobile Application Development, ECMAScript 2016, Java (Programming Language), JavaScript (Programming Language), ECMAScript 2015, React Native, Computer Science",150017,EdX
IBM: Full Stack Application Development Project,1,4.671710515,"Front End (Software Engineering), Node.js, Application Development, Full Stack Development, Django (Web Framework), Python (Programming Language), User Interface Design",22439,EdX
IBM: Guided Project: Web Development w/ HTML & CSS for Beginners,0,4.671710515,"Cascading Style Sheets (CSS), Software Engineering, Java (Programming Language), HyperText Markup Language (HTML), Look And Feel",149042,EdX
HarvardX: CS50's Web Programming with Python and JavaScript,1,4.671710515,"Application Deployment, React.js, Application Programming Interface (API), Cloud Computing, Web Development, Cloud Services, Django (Web Framework), SQL (Programming Language), JavaScript (Programming Language), Github, Database Design, Computer Science, Python (Programming Language), Scalability",1379832,EdX
"IBM: Introduction to Web Development with HTML5, CSS3, and JavaScript",0,4.3,"Front End (Software Engineering), Version Control, Application Development, Gitlab, Cloud Development, Full Stack Development, Web Development, Bootstrap (Front-End Framework), Project Files, Git (Version Control System), HTML5, JavaScript (Programming Language), Back End (Software Engineering), Github, Cascading Style Sheets (CSS)",112704,EdX
UBCx: Software Development Capstone Project,2,4.671710515,"Technological Change, Node.js, Full Stack Development, TypeScript, Test Automation, Test Suite, Software Development",149526,EdX
Microsoft: Learn to Program in Java,0,4.671710515,"Java (Programming Language), Software Engineering, Computer Science",153632,EdX
"DelftX: Unix Tools: Data, Software and Production Engineering",1,4.671710515,"Command-Line Interface, Software Engineering, Supercomputing, Unix Shell, Production Engineering, File Systems, Big Data, Software Analysis, Log Files, Workflow Management, DevOps, Software Development, Prototyping, Business Analytics, Software Systems, Unix Tools, Internet Of Things (IoT), Unix",6407,EdX
HarvardX: Advanced Bioconductor,2,4.671710515,"Functional Genomics, Linear Model, Matrix Algebra, Rmarkdown, Software Engineering, Bioconductor (Bioinformatics Software), Data Integration, Transcription Factors, Relational Databases, Data Warehousing, Ribonucleic Acid Sequencing, Life Sciences, R (Programming Language), Statistics, Graphical User Interface, Statistical Inference, Data Architecture, Hierarchical Data Format, Data Analysis, Biology",31180,EdX
HarvardX: Introduction to Bioconductor,1,4.671710515,"Functional Genomics, Next-Generation Sequencing, DNA Sequencing, Statistics, Statistical Methods, Life Sciences, R (Programming Language), Microarrays, Statistical Inference, Matrix Algebra, Linear Model, Data Analysis, Algorithms, Software Engineering, Bioconductor (Bioinformatics Software), Biology, Data Warehousing",50540,EdX
HarvardX: Case Studies in Functional Genomics,2,4.671710515,"Functional Genomics, Ribonucleic Acid Sequencing, Quality Control, Life Sciences, R (Programming Language), DNA Methylation, Open-Source Software, Exploratory Data Analysis, Matrix Algebra, Statistical Inference, Linear Model, Data Analysis, Statistics, Software Engineering, Bioconductor (Bioinformatics Software), Experimentation, Biology, Data Warehousing",42122,EdX
HarvardX: Statistical Inference and Modeling for High-throughput Experiments,1,4.671710515,"Functional Genomics, Next-Generation Sequencing, Maximum Likelihood, Linear Model, Matrix Algebra, Software Engineering, Bioconductor (Bioinformatics Software), Exploratory Data Analysis, Data Warehousing, DNA Sequencing, Life Sciences, R (Programming Language), Bayesian Statistics, Statistics, Research, Statistical Modeling, Statistical Inference, Data Analysis, Biology",63621,EdX
HarvardX: Introduction to Linear Models and Matrix Algebra,1,4.671710515,"Algebra, Functional Genomics, Life Sciences, R (Programming Language), Experimental Design, Statistical Inference, Matrix Algebra, Linear Model, Data Analysis, Statistics, Software Engineering, Bioconductor (Bioinformatics Software), Biology, Data Warehousing",115498,EdX
HarvardX: High-Dimensional Data Analysis,2,4.3,"Functional Genomics, Linear Model, Matrix Algebra, Software Engineering, Bioconductor (Bioinformatics Software), Factor Analysis, Multidimensional Scaling, Dimensionality Reduction, Algorithms, Hierarchical Clustering, Data Warehousing, Life Sciences, R (Programming Language), Forecasting, Principal Component Analysis, Data Visualization, Data Science, Statistics, Genomics, K-Means Clustering, Prediction, Statistical Inference, Machine Learning, Data Analysis, Biology",119084,EdX
HarvardX: Statistics and R,1,4,"Functional Genomics, Confidence Intervals, Life Sciences, R (Programming Language), Descriptive Statistics, Statistical Inference, Matrix Algebra, Linear Model, Statistical Analysis, Data Analysis, Statistics, Software Engineering, Bioconductor (Bioinformatics Software), Biology, Data Warehousing",448417,EdX
HarvardX: CS50's AP® Computer Science Principles,0,4.671710515,"Security Software, HyperText Markup Language (HTML), Biology, Finance, Computer Science, Resource Management, Data Structures, JavaScript (Programming Language), C (Programming Language), SQL (Programming Language), PHP (Scripting Language), Algorithms, Forensic Sciences, Cryptography, Cascading Style Sheets (CSS)",157697,EdX
UC3Mx: Introduction to Java Programming: Writing Good Code,0,3.6,"Java (Programming Language), Computer Science, Addressing Ethical Concerns, Software Engineering, Computational Thinking, Smartphone Operation",59305,EdX
IBM: DevOps Basics for Everyone,0,5,"Infrastructure, Decision Making, DevOps, Continuous Integration, Business Case, Continuous Delivery",8744,EdX
DelftX: Global Software Development,0,4.671710515,"Virtual Teams, Outsourcing, Organizational Skills, Software Development, Software Engineering",148483,EdX
KULeuvenX: UML Class Diagrams for Software Engineering,0,4,"Computer Science, Business Objects Framework, Requirements Engineering, Software Development, Software Engineering, Class Diagram, Blueprinting, Solution Architecture, Unified Modeling Language, Conceptual Design",42005,EdX
CS50's Introduction to Computer Science,0,4.671710515,"Cascading Style Sheets (CSS), Security Software, Resource Management, Data Structures, HyperText Markup Language (HTML), SQL (Programming Language), JavaScript (Programming Language), Forensic Sciences, Finance, C (Programming Language), Algorithms, Cryptography, Python (Programming Language), Computer Science",5458952,EdX
IITBombayX: Programming Basics,0,4.671710515,"Computer Programming, Computer Science, C (Programming Language), Algorithms, Object-Oriented Programming (OOP), Data Structures, C++ (Programming Language)",148788,EdX
UBCx: Software Engineering: Introduction,2,4.671710515,"Agile Methodology, Agile Software Development, Software Engineering, Software Systems, Programming Tools, Full Stack Development, Software Development",153590,EdX
IBM: DevOps and Software Engineering Capstone Project,1,4.671710515,"Agile Methodology, Test-Driven Development (TDD), Cloud-Native Computing, DevOps, Behavior-Driven Development, Continuous Integration, RESTful API, Software Engineering, Docker (Software), OpenShift, Python (Programming Language), Kubernetes, Microservices, Github",158773,EdX
TUMx: Software Engineering Essentials,1,4.671710515,"Management, Software Engineering, Unified Modeling Language, Object-Oriented Programming (OOP), Workflow Management, Project Management, Agile Methodology",147356,EdX
IBM: Software Engineering Basics for Everyone,0,4.7,"Scrum (Software Development), User Experience, Agile Methodology, Systems Development Life Cycle, Software Development Methodologies, Software Engineering, Marketing, Safety Assurance, Sales, Software Development Life Cycle, Software Development",16722,EdX
"WageningenX: Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",0,4.671710515,"Business Process Modeling, Fashion Design, Business Modeling, Ecosystem Science, Innovation, Textiles, Sustainability Initiatives",28940,EdX
URosarioX: Introducción a la ciberseguridad,1,4.671710515,"Ethical Hacking, Computer Forensics, Cyber Security, Teaching, Software Development, Cryptography",13463,EdX
HKUx: Introduction to FinTech,0,4.7,"Swimming Pool Maintenance, Artificial Intelligence, Infrastructure, Big Data, Financial Technology (FinTech), Customer Data Management, Finance, Emerging Technologies, Blockchain",116770,EdX
Web3x: Introduction to Polkadot,0,4,"Scalability, Cryptography, Blockchain, Interoperability",149448,EdX
HKUx: FinTech Ethics and Risks,0,4.4,"Financial Market, Artificial Intelligence, Financial Technology (FinTech), Financial Services, Cyber Security, Finance, Blockchain",16670,EdX
LinuxFoundationX: Becoming a Hyperledger Aries Developer,0,4.671710515,"Infrastructure, Ledgers (Accounting), Interoperability, Distributed Ledgers, Cryptography, Vaccination, Identity And Access Management, Hyperledger, Data Security, Blockchain",7006,EdX
JaverianaX: Fundamentos de la Tecnología Blockchain,0,4.671710515,"Bitcoin, Information Systems, Business Modeling, Blockchain, Cryptocurrency",160624,EdX
GalileoX: Blockchain e internet de las cosas,1,4.671710515,"Internet Of Things (IoT), Distributed Ledgers, Emerging Technologies, Digitization, Blockchain, Energy Transformation",158651,EdX
UTAustinX: Fintech: Blockchain for Business and Finance,1,4.671710515,"Financial Technology (FinTech), Ledgers (Accounting), Distributed Ledgers, Encryption, Financial Services, Finance, Blockchain, Cryptography, Business Technologies",143724,EdX
FedericaX: Introduzione all'informatica,0,4.671710515,"C++ (Programming Language), Informatica, Information Technology, Information Systems, Computer Architecture, Algorithms, Artificial Intelligence, Structured Programming, C (Programming Language)",153743,EdX
"UMD, USMx: Managing People with Power Skills",0,4.671710515,"Servant Leadership, Project Management Professional Certification, Health Information Technology, Negotiation, Emotional Intelligence, Interpersonal Communications, Leadership, Project Management Institute (PMI) Methodology, Agile Methodology, People Management, Cooperation, Active Listening, Project Stakeholders",159331,EdX
IBM: IT Support Case Studies,1,4.671710515,"Customer Service, CompTIA IT Fundamentals, Information Technology, Technical Support, Cloud Computing, Troubleshooting (Problem Solving), Communications",158346,EdX
WageningenX: Drones for Agriculture: Prepare and Design Your Drone (UAV) Mission,1,4.671710515,"Aerial Photography, Remote Sensing, Data Visualization, Curiosity, Aerial Surveys, Workflow Management, Unmanned Aerial Vehicle, Planning Tools, Agriculture, Planning, Image Resolution, Unmanned Aerial Systems (UAS)",17059,EdX
"IBM: Software, Programming, and Database Basics",0,4.671710515,"Operating Systems, Technical Support, Web Browsers, Information Technology, Cloud Computing, Python (Programming Language), Application Deployment, Software Development",146178,EdX
"DartmouthX, IMTx: C Programming: Language Foundations",0,4.6,"Algorithms, Decision Making, C (Programming Language), Programming Concepts, Linux",68183,EdX
AlaskaX: GIS Foundations,0,4.3,"GIS Certificate, Complex Problem Solving, Urban Planning, Social Sciences, Spatial Data Infrastructures, ArcGIS (GIS Software), Geospatial Analysis, Cartography, Remote Sensing, Data Science, Geographic Information Systems, GIS Applications, Problem Solving, Health Information Technology, Web Mapping, Data Analysis",14603,EdX
W3Cx: Introduction to Web Accessibility,0,4.4,"Rich Internet Application, International Standards, Cooperation, Web Content Accessibility Guidelines, Information Technology, Web Accessibility, User Experience, Assistive Technology, Web Accessibility Initiative",63290,EdX
ColumbiaX: Freedom of Expression and Information in the Time of Globalization: Advanced Course,1,4.671710515,"Case Law, News Stories",160173,EdX
IsraelX: Health Informatics for better and safer healthcare,0,4.671710515,"Health Information Technology, Systems Design, Information Technology, Electronic Medical Record, Certified Computer Programmer, Health Informatics",160542,EdX
HKPolyUx: Innovation and Technology Management in Tourism and Hospitality,1,4.671710515,"Infrastructure, Tourism, Communications, Innovation, Business Modeling, Technical Management, Marketing, Hospitality",18323,EdX
RITx: Data Analytics and Visualization in Health Care,2,4.8,"Health Informatics, Health Information Technology, Process Improvement, Population Health, Health Care Industry, Informatics, Data Analysis, Data Quality, Medical Records",13373,EdX
UPValenciaX: IT Fundamentals for Business Professionals: Hardware,0,4.671710515,"Information Systems, Telecommunications, Telecommunications Networks, Information Technology",17625,EdX
UPValenciaX: IT Fundamentals for Business Professionals: Software development,0,4.671710515,"Telecommunications, Information Technology, Software Project Management, Software Development, User Interface, Information Systems, Project Management",14622,EdX
UPValenciaX: IT Fundamentals for Business Professionals: Cybersecurity and social implications,0,4.671710515,"Ergonomics, Telecommunications, Information Technology, Computer Science, Business Strategies, Information Systems, Cloud Computing, Cyber Security",12432,EdX
UPValenciaX: IT Fundamentals for Business Professionals: Enterprise Systems,0,4.671710515,"Telecommunications, Enterprise Application Software, Information Systems, Information Technology",28187,EdX
UPValenciaX: IT Fundamentals for Business Professionals: Programming,0,4.671710515,"Telecommunications, Database Management, Cascading Style Sheets (CSS), Information Technology, SQL (Programming Language), HyperText Markup Language (HTML), Web Development, JavaScript (Programming Language), Extensible Markup Language (XML), Object-Oriented Programming (OOP), Information Systems",16689,EdX
"UQx: Global Media, War, and Technology",0,4.671710515,"Information Technology, Surveys, Crowdsourcing, Espionage, Image Analysis, Smartphone Operation",15673,EdX
IMFx: Cyber Risk Supervision,0,4.6,"Risk Management, Information Technology, Management, Cyber Security, Cyber Risk",155175,EdX
IBM: Hardware and Operating Systems,0,4.671710515,"Operating Systems, Troubleshooting (Problem Solving), Technical Support, Peripheral Devices, Information Technology, Motherboard, Screen Capture, Help Desk Support, Expansion Cards, Customer Service, Computer Hardware, Hard Disk Drives",160433,EdX
IBM: Technical Support Basics for Everyone,0,5,"Information Technology, Customer Service, Service-Level Agreement, Technical Support",143108,EdX
WGUx: Information Technology Foundations,0,4.671710515,"Scripting, Peripheral Devices, Addressing Ethical Concerns, Integration, Data Management, Information Management, Information Technology, Operating Systems",158916,EdX
HarvardX: Deploying TinyML,1,4.5,"Speech Recognition, Electrical Engineering, Embedded Systems, Audio Signal Processing, Deep Learning, Computer Vision, Machine Learning, ARM Architecture, Computer Science, TensorFlow",19938,EdX
HarvardX: Applications of TinyML,1,4.4,"Anomaly Detection, Speech Recognition, Smartphone Operation, Artificial Neural Networks, Deep Learning, Android (Operating System), Machine Learning",20834,EdX
HarvardX: Fundamentals of TinyML,0,4.5,"Embedded Systems, Smartphone Operation, Data Science, Machine Learning Algorithms, Deep Learning, Machine Learning, Data Collection, Algorithms",55467,EdX
HarvardX: Deploying TinyML,1,4.5,"Speech Recognition, Electrical Engineering, Embedded Systems, Audio Signal Processing, Deep Learning, Computer Vision, Machine Learning, ARM Architecture, Computer Science, TensorFlow",19938,EdX
IBM: Using GPUs to Scale and Speed-up Deep Learning,1,4.671710515,"Torch (Machine Learning), Scalability, Machine Learning, Deep Learning, Artificial Intelligence, TensorFlow, Artificial Neural Networks, Electric Power Systems, Public Cloud, Convolutional Neural Networks",156278,EdX
IBM: Deep Learning with Tensorflow,1,4.6,"Nodes (Networking), Unstructured Data, Machine Learning, Deep Learning, Numerical Analysis, Dataflow, Curve Fitting, TensorFlow, Artificial Neural Networks",50847,EdX
EdinburghX: Introduction to Social Research Methods,1,4.671710515,"Research Methodologies, Social Research, Research",147968,EdX
WisconsinX: SQL Fundamentals,0,4.671710515,"Hierarchical And Recursive Queries In SQL, Query Optimization, SQL (Programming Language), Window Function",154048,EdX
DelftX: Beyond Engineering: Building with Nature,1,4.671710515,"Game Theory, Integrated Design, Infrastructure, Hydraulic Engineering, Design Elements And Principles, Coastal Engineering, Governance",146762,EdX
"TokyoTechX: Science, Engineering, AI & Data Ethics |  科学技術・AI倫理",0,4.671710515,"Japanese Language, Addressing Ethical Concerns, Big Data, Engineering Ethics, Technical Standard, Data Ethics, Artificial Intelligence, English Language, Ethical Principles",159333,EdX
ACCA: Management Accounting,1,4.5,"Decision Making, Accounting, Management, Association Of Chartered Certified Accountants, Management Accounting, Planning, Finance",5194,EdX
HKPolyUx: Industry 4.0: How to Revolutionize your Business,0,3.9,"Big Data, Virtual Reality, Automation, Industry 4.0, Smart Manufacturing, Cloud Computing, Cyber-Physical Systems, Forecasting, Mechanization",35458,EdX
IIMBx: Quantitative Marketing Research,0,4.671710515,"Addressing Ethical Concerns, Marketing Research, Marketing Concepts, Market Segmentation, Cluster Analysis, Quantitative Marketing Research, Conjoint Analysis, Research, Marketing, Value Propositions, Market Research",10193,EdX
"NUS: Data Science for Construction, Architecture and Engineering",0,4.6,"Machine Learning, Data Analysis, Operations, Python (Programming Language), Spreadsheets, Pandas (Python Package), Extract Transform Load (ETL), Top Secret-Sensitive Compartmented Information (TS/SCI Clearance), Data Science, Built Environment",34462,EdX
